opening L1_reg_Training_out_with_lambda:0.001000.txt
starting
Loading model
Epoch 2: Train MSE is 1.005506 | Dev MSE is 1.030618
Epoch 3: Train MSE is 0.996709 | Dev MSE is 1.030599
Epoch 4: Train MSE is 0.996708 | Dev MSE is 1.030598
Epoch 5: Train MSE is 0.996708 | Dev MSE is 1.030599
Epoch 6: Train MSE is 0.996709 | Dev MSE is 1.030599
Epoch 7: Train MSE is 0.996709 | Dev MSE is 1.030599
Epoch 8: Train MSE is 0.996710 | Dev MSE is 1.030599
Epoch 9: Train MSE is 0.996711 | Dev MSE is 1.030599
Epoch 10: Train MSE is 0.996711 | Dev MSE is 1.030599
Epoch 11: Train MSE is 0.996711 | Dev MSE is 1.030599
Epoch 12: Train MSE is 0.996711 | Dev MSE is 1.030599
Epoch 13: Train MSE is 0.996711 | Dev MSE is 1.030598
Epoch 14: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 15: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 16: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 17: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 18: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 19: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 20: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 21: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 22: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 23: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 24: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 25: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 26: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 27: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 28: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 29: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 30: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 31: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 32: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 33: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 34: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 35: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 36: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 37: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 38: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 39: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 40: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 41: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 42: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 43: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 44: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 45: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 46: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 47: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 48: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 49: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 50: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 51: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 52: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 53: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 54: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 55: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 56: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 57: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 58: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 59: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 60: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 61: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 62: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 63: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 64: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 65: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 66: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 67: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 68: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 69: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 70: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 71: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 72: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 73: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 74: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 75: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 76: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 77: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 78: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 79: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 80: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 81: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 82: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 83: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 84: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 85: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 86: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 87: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 88: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 89: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 90: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 91: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 92: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 93: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 94: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 95: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 96: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 97: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 98: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 99: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 100: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 101: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 102: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 103: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 104: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 105: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 106: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 107: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 108: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 109: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 110: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 111: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 112: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 113: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 114: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 115: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 116: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 117: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 118: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 119: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 120: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 121: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 122: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 123: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 124: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 125: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 126: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 127: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 128: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 129: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 130: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 131: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 132: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 133: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 134: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 135: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 136: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 137: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 138: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 139: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 140: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 141: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 142: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 143: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 144: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 145: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 146: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 147: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 148: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 149: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 150: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 151: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 152: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 153: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 154: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 155: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 156: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 157: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 158: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 159: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 160: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 161: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 162: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 163: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 164: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 165: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 166: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 167: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 168: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 169: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 170: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 171: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 172: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 173: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 174: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 175: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 176: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 177: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 178: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 179: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 180: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 181: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 182: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 183: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 184: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 185: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 186: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 187: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 188: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 189: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 190: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 191: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 192: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 193: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 194: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 195: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 196: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 197: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 198: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 199: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 200: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 201: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 202: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 203: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 204: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 205: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 206: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 207: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 208: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 209: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 210: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 211: Train MSE is 0.996712 | Dev MSE is 1.030599
Epoch 212: Train MSE is 0.996712 | Dev MSE is 1.030599
