opening L1_Training_out_with_lambda:0.001000.txt
starting
Loading model
Epoch 97: Train MSE is 0.970557 | Dev MSE is 1.022697
Epoch 98: Train MSE is 0.970555 | Dev MSE is 1.022701
Epoch 99: Train MSE is 0.970550 | Dev MSE is 1.022697
Epoch 100: Train MSE is 0.970550 | Dev MSE is 1.022700
Epoch 101: Train MSE is 0.970554 | Dev MSE is 1.022700
Epoch 102: Train MSE is 0.970562 | Dev MSE is 1.022698
Epoch 103: Train MSE is 0.970560 | Dev MSE is 1.022700
Epoch 104: Train MSE is 0.970560 | Dev MSE is 1.022698
Epoch 105: Train MSE is 0.970554 | Dev MSE is 1.022699
Epoch 106: Train MSE is 0.970552 | Dev MSE is 1.022698
Epoch 107: Train MSE is 0.970551 | Dev MSE is 1.022699
Epoch 108: Train MSE is 0.970553 | Dev MSE is 1.022699
Epoch 109: Train MSE is 0.970557 | Dev MSE is 1.022698
Epoch 110: Train MSE is 0.970554 | Dev MSE is 1.022699
Epoch 111: Train MSE is 0.970558 | Dev MSE is 1.022700
Epoch 112: Train MSE is 0.970564 | Dev MSE is 1.022698
Epoch 113: Train MSE is 0.970554 | Dev MSE is 1.022697
Epoch 114: Train MSE is 0.970554 | Dev MSE is 1.022698
Epoch 115: Train MSE is 0.970564 | Dev MSE is 1.022699
Epoch 116: Train MSE is 0.970557 | Dev MSE is 1.022698
Epoch 117: Train MSE is 0.970560 | Dev MSE is 1.022698
Epoch 118: Train MSE is 0.970548 | Dev MSE is 1.022700
Epoch 119: Train MSE is 0.970558 | Dev MSE is 1.022696
Epoch 120: Train MSE is 0.970558 | Dev MSE is 1.022699
Epoch 121: Train MSE is 0.970549 | Dev MSE is 1.022699
Epoch 122: Train MSE is 0.970558 | Dev MSE is 1.022700
Epoch 123: Train MSE is 0.970555 | Dev MSE is 1.022700
Epoch 124: Train MSE is 0.970555 | Dev MSE is 1.022698
Epoch 125: Train MSE is 0.970556 | Dev MSE is 1.022696
Epoch 126: Train MSE is 0.970547 | Dev MSE is 1.022697
Epoch 127: Train MSE is 0.970553 | Dev MSE is 1.022700
Epoch 128: Train MSE is 0.970556 | Dev MSE is 1.022699
Epoch 129: Train MSE is 0.970557 | Dev MSE is 1.022700
Epoch 130: Train MSE is 0.970557 | Dev MSE is 1.022697
Epoch 131: Train MSE is 0.970550 | Dev MSE is 1.022697
Epoch 132: Train MSE is 0.970556 | Dev MSE is 1.022697
Epoch 133: Train MSE is 0.970554 | Dev MSE is 1.022697
Epoch 134: Train MSE is 0.970551 | Dev MSE is 1.022696
Epoch 135: Train MSE is 0.970561 | Dev MSE is 1.022699
Epoch 136: Train MSE is 0.970560 | Dev MSE is 1.022694
Epoch 137: Train MSE is 0.970557 | Dev MSE is 1.022698
Epoch 138: Train MSE is 0.970559 | Dev MSE is 1.022697
Epoch 139: Train MSE is 0.970545 | Dev MSE is 1.022700
Epoch 140: Train MSE is 0.970544 | Dev MSE is 1.022696
Epoch 141: Train MSE is 0.970557 | Dev MSE is 1.022698
Epoch 142: Train MSE is 0.970558 | Dev MSE is 1.022696
Epoch 143: Train MSE is 0.970561 | Dev MSE is 1.022700
Epoch 144: Train MSE is 0.970556 | Dev MSE is 1.022695
Epoch 145: Train MSE is 0.970556 | Dev MSE is 1.022698
