opening L1_reg_Training_out_with_lambda:0.010000.txt
starting
Loading model
Epoch 2: Train MSE is 0.997338 | Dev MSE is 1.030601
Epoch 3: Train MSE is 0.996709 | Dev MSE is 1.030601
Epoch 4: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 5: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 6: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 7: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 8: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 9: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 10: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 11: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 12: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 13: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 14: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 15: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 16: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 17: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 18: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 19: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 20: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 21: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 22: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 23: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 24: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 25: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 26: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 27: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 28: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 29: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 30: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 31: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 32: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 33: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 34: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 35: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 36: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 37: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 38: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 39: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 40: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 41: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 42: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 43: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 44: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 45: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 46: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 47: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 48: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 49: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 50: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 51: Train MSE is 0.996710 | Dev MSE is 1.030601
Epoch 52: Train MSE is 0.996710 | Dev MSE is 1.030601
