opening L1_reg_Training_out_with_lambda:10.000000.txt
starting
Loading model
Epoch 97: Train MSE is 0.996707 | Dev MSE is 1.030602
Epoch 98: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 99: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 100: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 101: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 102: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 103: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 104: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 105: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 106: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 107: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 108: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 109: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 110: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 111: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 112: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 113: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 114: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 115: Train MSE is 0.996705 | Dev MSE is 1.030602
Epoch 116: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 117: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 118: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 119: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 120: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 121: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 122: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 123: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 124: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 125: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 126: Train MSE is 0.996706 | Dev MSE is 1.030602
Epoch 127: Train MSE is 0.996706 | Dev MSE is 1.030601
Epoch 128: Train MSE is 0.996705 | Dev MSE is 1.030601
Epoch 129: Train MSE is 0.996705 | Dev MSE is 1.030602
