opening L1_Training_out_with_lambda:0.002000.txt
starting
Loading model
Epoch 97: Train MSE is 0.975548 | Dev MSE is 1.026612
Epoch 98: Train MSE is 0.975570 | Dev MSE is 1.026600
Epoch 99: Train MSE is 0.975527 | Dev MSE is 1.026588
Epoch 100: Train MSE is 0.975560 | Dev MSE is 1.026597
Epoch 101: Train MSE is 0.975566 | Dev MSE is 1.026574
Epoch 102: Train MSE is 0.975581 | Dev MSE is 1.026602
Epoch 103: Train MSE is 0.975575 | Dev MSE is 1.026598
Epoch 104: Train MSE is 0.975548 | Dev MSE is 1.026607
Epoch 105: Train MSE is 0.975623 | Dev MSE is 1.026601
Epoch 106: Train MSE is 0.975509 | Dev MSE is 1.026589
Epoch 107: Train MSE is 0.975591 | Dev MSE is 1.026607
Epoch 108: Train MSE is 0.975554 | Dev MSE is 1.026592
Epoch 109: Train MSE is 0.975531 | Dev MSE is 1.026587
Epoch 110: Train MSE is 0.975548 | Dev MSE is 1.026592
Epoch 111: Train MSE is 0.975583 | Dev MSE is 1.026606
Epoch 112: Train MSE is 0.975541 | Dev MSE is 1.026592
Epoch 113: Train MSE is 0.975537 | Dev MSE is 1.026597
Epoch 114: Train MSE is 0.975511 | Dev MSE is 1.026613
Epoch 115: Train MSE is 0.975568 | Dev MSE is 1.026585
Epoch 116: Train MSE is 0.975538 | Dev MSE is 1.026576
Epoch 117: Train MSE is 0.975591 | Dev MSE is 1.026592
Epoch 118: Train MSE is 0.975532 | Dev MSE is 1.026583
Epoch 119: Train MSE is 0.975538 | Dev MSE is 1.026579
Epoch 120: Train MSE is 0.975550 | Dev MSE is 1.026582
Epoch 121: Train MSE is 0.975508 | Dev MSE is 1.026597
Epoch 122: Train MSE is 0.975501 | Dev MSE is 1.026596
Epoch 123: Train MSE is 0.975519 | Dev MSE is 1.026596
Epoch 124: Train MSE is 0.975546 | Dev MSE is 1.026601
Epoch 125: Train MSE is 0.975554 | Dev MSE is 1.026588
Epoch 126: Train MSE is 0.975570 | Dev MSE is 1.026595
Epoch 127: Train MSE is 0.975507 | Dev MSE is 1.026607
Epoch 128: Train MSE is 0.975575 | Dev MSE is 1.026605
Epoch 129: Train MSE is 0.975492 | Dev MSE is 1.026591
Epoch 130: Train MSE is 0.975538 | Dev MSE is 1.026621
Epoch 131: Train MSE is 0.975517 | Dev MSE is 1.026590
Epoch 132: Train MSE is 0.975537 | Dev MSE is 1.026589
Epoch 133: Train MSE is 0.975559 | Dev MSE is 1.026603
Epoch 134: Train MSE is 0.975588 | Dev MSE is 1.026613
Epoch 135: Train MSE is 0.975523 | Dev MSE is 1.026581
Epoch 136: Train MSE is 0.975568 | Dev MSE is 1.026608
Epoch 137: Train MSE is 0.975554 | Dev MSE is 1.026593
Epoch 138: Train MSE is 0.975534 | Dev MSE is 1.026598
Epoch 139: Train MSE is 0.975562 | Dev MSE is 1.026590
Epoch 140: Train MSE is 0.975533 | Dev MSE is 1.026588
Epoch 141: Train MSE is 0.975517 | Dev MSE is 1.026591
Epoch 142: Train MSE is 0.975579 | Dev MSE is 1.026611
Epoch 143: Train MSE is 0.975521 | Dev MSE is 1.026593
Epoch 144: Train MSE is 0.975557 | Dev MSE is 1.026613
Epoch 145: Train MSE is 0.975553 | Dev MSE is 1.026595
Epoch 146: Train MSE is 0.975521 | Dev MSE is 1.026611
Epoch 147: Train MSE is 0.975567 | Dev MSE is 1.026604
Epoch 148: Train MSE is 0.975538 | Dev MSE is 1.026597
Epoch 149: Train MSE is 0.975635 | Dev MSE is 1.026609
Epoch 150: Train MSE is 0.975593 | Dev MSE is 1.026602
Epoch 151: Train MSE is 0.975570 | Dev MSE is 1.026615
Epoch 152: Train MSE is 0.975511 | Dev MSE is 1.026597
Epoch 153: Train MSE is 0.975497 | Dev MSE is 1.026601
Epoch 154: Train MSE is 0.975580 | Dev MSE is 1.026592
Epoch 155: Train MSE is 0.975555 | Dev MSE is 1.026588
Epoch 156: Train MSE is 0.975528 | Dev MSE is 1.026585
Epoch 157: Train MSE is 0.975536 | Dev MSE is 1.026605
Epoch 158: Train MSE is 0.975533 | Dev MSE is 1.026599
Epoch 159: Train MSE is 0.975522 | Dev MSE is 1.026582
Epoch 160: Train MSE is 0.975569 | Dev MSE is 1.026606
Epoch 161: Train MSE is 0.975560 | Dev MSE is 1.026598
Epoch 162: Train MSE is 0.975498 | Dev MSE is 1.026592
Epoch 163: Train MSE is 0.975543 | Dev MSE is 1.026596
Epoch 164: Train MSE is 0.975529 | Dev MSE is 1.026603
Epoch 165: Train MSE is 0.975532 | Dev MSE is 1.026580
Epoch 166: Train MSE is 0.975552 | Dev MSE is 1.026601
Epoch 167: Train MSE is 0.975536 | Dev MSE is 1.026588
Epoch 168: Train MSE is 0.975558 | Dev MSE is 1.026610
Epoch 169: Train MSE is 0.975521 | Dev MSE is 1.026592
Epoch 170: Train MSE is 0.975610 | Dev MSE is 1.026603
Epoch 171: Train MSE is 0.975515 | Dev MSE is 1.026597
Epoch 172: Train MSE is 0.975601 | Dev MSE is 1.026597
Epoch 173: Train MSE is 0.975562 | Dev MSE is 1.026599
Epoch 174: Train MSE is 0.975539 | Dev MSE is 1.026605
Epoch 175: Train MSE is 0.975581 | Dev MSE is 1.026606
Epoch 176: Train MSE is 0.975510 | Dev MSE is 1.026595
Epoch 177: Train MSE is 0.975558 | Dev MSE is 1.026587
Epoch 178: Train MSE is 0.975566 | Dev MSE is 1.026601
Epoch 179: Train MSE is 0.975562 | Dev MSE is 1.026582
Epoch 180: Train MSE is 0.975554 | Dev MSE is 1.026597
Epoch 181: Train MSE is 0.975537 | Dev MSE is 1.026596
Epoch 182: Train MSE is 0.975552 | Dev MSE is 1.026582
Epoch 183: Train MSE is 0.975538 | Dev MSE is 1.026598
Epoch 184: Train MSE is 0.975514 | Dev MSE is 1.026598
Epoch 185: Train MSE is 0.975563 | Dev MSE is 1.026589
Epoch 186: Train MSE is 0.975557 | Dev MSE is 1.026598
Epoch 187: Train MSE is 0.975560 | Dev MSE is 1.026591
Epoch 188: Train MSE is 0.975561 | Dev MSE is 1.026599
Epoch 189: Train MSE is 0.975569 | Dev MSE is 1.026592
Epoch 190: Train MSE is 0.975544 | Dev MSE is 1.026605
Epoch 191: Train MSE is 0.975524 | Dev MSE is 1.026595
Epoch 192: Train MSE is 0.975561 | Dev MSE is 1.026584
Epoch 193: Train MSE is 0.975568 | Dev MSE is 1.026597
Epoch 194: Train MSE is 0.975512 | Dev MSE is 1.026585
Epoch 195: Train MSE is 0.975513 | Dev MSE is 1.026590
Epoch 196: Train MSE is 0.975545 | Dev MSE is 1.026578
Epoch 197: Train MSE is 0.975528 | Dev MSE is 1.026592
Epoch 198: Train MSE is 0.975571 | Dev MSE is 1.026592
Epoch 199: Train MSE is 0.975545 | Dev MSE is 1.026593
Epoch 200: Train MSE is 0.975544 | Dev MSE is 1.026593
Epoch 201: Train MSE is 0.975590 | Dev MSE is 1.026603
Epoch 202: Train MSE is 0.975579 | Dev MSE is 1.026585
Epoch 203: Train MSE is 0.975540 | Dev MSE is 1.026599
Epoch 204: Train MSE is 0.975588 | Dev MSE is 1.026605
Epoch 205: Train MSE is 0.975529 | Dev MSE is 1.026583
Epoch 206: Train MSE is 0.975590 | Dev MSE is 1.026607
Epoch 207: Train MSE is 0.975596 | Dev MSE is 1.026600
Epoch 208: Train MSE is 0.975549 | Dev MSE is 1.026596
Epoch 209: Train MSE is 0.975535 | Dev MSE is 1.026603
Epoch 210: Train MSE is 0.975534 | Dev MSE is 1.026605
Epoch 211: Train MSE is 0.975513 | Dev MSE is 1.026571
Epoch 212: Train MSE is 0.975536 | Dev MSE is 1.026582
Epoch 213: Train MSE is 0.975516 | Dev MSE is 1.026598
Epoch 214: Train MSE is 0.975556 | Dev MSE is 1.026603
Epoch 215: Train MSE is 0.975522 | Dev MSE is 1.026607
Epoch 216: Train MSE is 0.975557 | Dev MSE is 1.026589
Epoch 217: Train MSE is 0.975526 | Dev MSE is 1.026596
Epoch 218: Train MSE is 0.975555 | Dev MSE is 1.026606
Epoch 219: Train MSE is 0.975567 | Dev MSE is 1.026606
